,class
25515,p
3894,p
54502,e
39842,p
10894,p
54576,e
36235,e
45995,e
6753,e
56244,p
51510,e
19812,p
38201,p
43162,p
7980,p
12865,p
36545,p
52639,e
28099,p
32203,p
2501,e
51013,p
32537,p
48713,e
29633,p
22140,e
32011,p
27332,p
20588,e
985,p
22257,e
52078,e
32349,p
41902,p
5835,e
56663,p
34261,p
11285,p
955,p
29840,e
23912,p
33065,p
1197,e
20422,e
2617,e
22344,e
6438,e
33100,p
25903,p
34017,p
135,p
6898,e
58972,p
31796,p
39302,p
49775,p
31371,e
8191,p
12671,e
43574,e
52147,e
24656,e
12525,e
57224,p
51767,e
61011,p
35233,e
56764,p
48257,p
15601,p
35587,p
7333,p
43933,e
28719,p
49033,e
10754,p
40633,p
34966,e
7633,p
54281,p
4604,e
14113,p
40039,p
18937,e
39993,p
41760,p
42035,e
47390,p
18906,e
9570,p
40575,p
30670,e
10471,e
46609,e
12321,p
18252,e
21715,e
53516,p
31926,p
27825,p
42362,e
20174,e
13819,p
31432,e
27055,e
9865,p
12881,p
26860,e
60139,p
42520,e
37671,p
47838,p
50211,p
54769,e
7242,p
36948,p
18596,p
21894,e
45578,e
30309,p
7722,p
33021,p
43150,p
4551,e
53388,p
22213,e
14456,e
42160,e
57008,e
5313,e
1352,e
48037,p
36236,e
21428,e
39621,p
5492,e
39787,p
49130,e
57407,p
6405,e
6750,e
18024,e
34645,p
52264,e
50471,p
57240,p
19216,p
34024,p
24457,e
46240,e
479,p
10232,p
29569,p
55785,e
20467,e
24770,e
1647,p
31301,e
29090,p
7882,p
8777,e
53152,e
14625,e
54935,e
36310,e
49754,e
54535,e
11884,e
27467,p
8528,e
30394,e
23707,p
48141,p
12720,p
35929,p
33484,p
6964,e
37354,p
30851,p
15560,p
12990,p
42004,p
51484,e
19340,p
28372,p
23192,p
31987,p
33548,e
3811,p
8159,p
26709,p
35617,p
21223,e
60016,p
32149,p
24852,e
51859,e
22172,e
6476,e
2340,p
30780,p
28127,p
13863,p
59719,p
4138,p
13544,p
37927,p
32833,p
6224,p
11464,e
29696,e
22352,e
16418,e
50362,p
28282,p
8399,p
39557,p
24825,e
7076,p
471,p
33455,p
16608,e
42649,e
13682,p
25334,e
54959,e
13845,p
37638,p
16227,e
5719,e
51893,e
44293,p
10849,p
1827,e
26324,e
4659,e
40160,p
39564,p
2614,e
15391,e
58065,p
55650,e
15159,e
44779,p
7101,p
21422,e
43136,p
142,p
11100,p
43911,e
13546,p
23107,p
26472,e
8827,p
43146,p
17932,e
16009,e
29002,p
6228,p
39518,p
44607,p
44657,p
41528,p
29086,p
53694,p
2220,p
27277,p
20239,e
21999,e
16726,e
45445,e
60280,p
47539,p
28329,p
30536,e
46716,e
37472,p
52570,e
31426,e
9772,p
56824,p
33793,e
6943,e
41849,p
11871,e
55431,e
25309,e
47551,p
56297,p
26615,p
11031,p
14012,p
1617,p
20616,e
49972,p
33317,p
60970,p
23840,p
46308,e
38319,p
26038,p
30915,p
39497,p
9173,p
16368,e
10877,p
56322,p
50539,e
56887,e
50718,e
7787,p
4106,p
15095,e
17422,e
40260,p
34820,p
7182,p
8322,p
2675,e
31782,p
15842,p
22454,e
51716,e
49215,e
41394,p
43351,p
13851,p
38909,p
49764,e
43259,p
21479,e
18568,p
51984,e
4070,p
59195,p
17608,e
26544,p
12123,p
3521,e
41921,p
22790,p
54923,e
23337,p
455,p
4117,p
28727,p
55447,e
40077,p
44988,p
7481,p
44081,e
46507,e
16982,p
49919,p
29055,p
60561,e
52363,e
14733,e
47670,p
12044,p
13096,p
48434,e
30031,p
60199,p
17406,e
50455,p
48147,p
51286,e
5736,e
49232,e
16893,e
52767,e
45004,p
56939,e
25540,p
46415,e
28285,p
48119,p
31425,e
48928,e
16188,e
32992,p
22117,e
5013,e
38849,p
49124,e
54509,e
37691,p
31423,e
7086,p
42760,e
15494,e
11197,p
4008,p
34359,p
26587,p
9395,e
13567,p
60095,p
13362,p
25314,e
56658,p
18885,e
56438,p
52746,e
49977,p
21645,e
42014,e
14217,e
3377,e
2311,p
40865,p
11610,e
12844,p
38494,p
41655,p
53666,p
41881,p
50365,p
2196,p
66,p
46226,e
40206,p
43509,e
27797,p
31983,p
33905,p
42906,e
9591,p
39481,p
35897,p
3961,p
13953,p
34156,p
56905,e
54862,e
54553,e
42092,e
17556,e
7587,p
28040,p
5084,e
37157,p
15607,p
18405,p
27150,e
39271,p
5612,e
21397,e
30665,e
1996,e
14042,p
8999,p
24401,e
33245,p
35605,p
39566,p
27471,p
247,p
43464,e
50492,e
5874,e
28178,p
31282,e
3511,e
23595,p
1161,e
40074,p
25935,p
45357,e
24339,e
43695,e
25643,p
58984,p
58880,p
7102,p
46458,e
4987,e
35545,p
56315,p
4593,e
29140,p
29522,p
22618,p
47422,p
45408,e
48104,p
34053,p
20025,p
49635,e
42037,e
41462,p
13119,p
44928,p
14420,e
16177,e
24817,e
1237,e
6101,p
2036,e
6719,e
79,p
22216,e
50480,e
31012,p
46012,e
41260,p
51446,e
9342,e
55545,e
43457,e
8751,e
4279,e
37704,p
40366,p
27739,p
21222,e
10965,p
31646,e
22625,p
19438,p
49515,e
31050,p
20403,e
26999,e
16997,p
16550,e
5530,e
48617,e
15475,e
31431,e
31897,p
41647,p
6713,e
33500,p
9234,e
13110,p
60251,p
36039,e
44326,p
19453,p
49085,e
20375,e
35655,p
9082,p
56136,p
19573,p
23465,p
43746,e
43448,e
31078,e
59391,p
15208,e
24227,e
58345,e
55030,e
58597,e
21176,p
49802,p
44665,p
45087,p
17165,p
30797,p
43104,p
22049,e
39233,p
7627,p
13915,p
4186,p
52592,e
16104,e
10062,p
51173,p
43726,e
8880,p
40046,p
7178,p
48992,e
32415,p
53119,e
41666,p
27395,p
43443,e
43580,e
28403,p
16191,e
57968,p
37988,p
